word,p1,p2,p3,p4,p5
which,w,h,i,c,h
there,t,h,e,r,e
their,t,h,e,i,r
about,a,b,o,u,t
would,w,o,u,l,d
these,t,h,e,s,e
other,o,t,h,e,r
words,w,o,r,d,s
could,c,o,u,l,d
write,w,r,i,t,e
first,f,i,r,s,t
water,w,a,t,e,r
after,a,f,t,e,r
where,w,h,e,r,e
right,r,i,g,h,t
think,t,h,i,n,k
three,t,h,r,e,e
years,y,e,a,r,s
place,p,l,a,c,e
sound,s,o,u,n,d
great,g,r,e,a,t
again,a,g,a,i,n
still,s,t,i,l,l
every,e,v,e,r,y
small,s,m,a,l,l
found,f,o,u,n,d
those,t,h,o,s,e
never,n,e,v,e,r
under,u,n,d,e,r
might,m,i,g,h,t
while,w,h,i,l,e
house,h,o,u,s,e
world,w,o,r,l,d
below,b,e,l,o,w
asked,a,s,k,e,d
going,g,o,i,n,g
large,l,a,r,g,e
until,u,n,t,i,l
along,a,l,o,n,g
shall,s,h,a,l,l
being,b,e,i,n,g
often,o,f,t,e,n
earth,e,a,r,t,h
began,b,e,g,a,n
since,s,i,n,c,e
study,s,t,u,d,y
night,n,i,g,h,t
light,l,i,g,h,t
above,a,b,o,v,e
paper,p,a,p,e,r
parts,p,a,r,t,s
young,y,o,u,n,g
story,s,t,o,r,y
point,p,o,i,n,t
times,t,i,m,e,s
heard,h,e,a,r,d
whole,w,h,o,l,e
white,w,h,i,t,e
given,g,i,v,e,n
means,m,e,a,n,s
music,m,u,s,i,c
miles,m,i,l,e,s
thing,t,h,i,n,g
today,t,o,d,a,y
later,l,a,t,e,r
using,u,s,i,n,g
money,m,o,n,e,y
lines,l,i,n,e,s
order,o,r,d,e,r
group,g,r,o,u,p
among,a,m,o,n,g
learn,l,e,a,r,n
known,k,n,o,w,n
space,s,p,a,c,e
table,t,a,b,l,e
early,e,a,r,l,y
trees,t,r,e,e,s
short,s,h,o,r,t
hands,h,a,n,d,s
state,s,t,a,t,e
black,b,l,a,c,k
shown,s,h,o,w,n
stood,s,t,o,o,d
front,f,r,o,n,t
voice,v,o,i,c,e
kinds,k,i,n,d,s
makes,m,a,k,e,s
